reportname	category	reporttype	reporttitle	visible	containerpath	schemaname	queryname	viewname	report	datefieldname	todayonly	queryhaslocation	sort_order	QCStateLabelFieldName	description
clinObsBsu	Behavior	js	Observations	true		study	underDevelopment	BSU Observations		date	false	false		qcstate/publicdata	This report contains one record for each encounter with each animal, including surergies, exams, procedures, etc.
clinremarks	Clinical	js	Clinical Remarks	true		study	underDevelopment			date	false	false		qcstate/publicdata	This report contains the clinical remarks entered about each animal
behaviorRemarks	Behavior	js	Behavior Remarks	true		study	underDevelopment	Behavior Remarks		date	false	false		qcstate/publicdata	This report contains the behavior remarks entered about each animal
drug	Behavior	js	Behavior Treatments	true		study	underDevelopment	Behavior Treatments		date	false	false		qcstate/publicdata	This report contains the behavior treatments entered about each animal
pairings	Behavior	query	Pairing Observations	true		study	pairings			date	false	false			This report contains records about pairings made using each animal
pairingHousingSummary	Behavior	js	Pairing With Housing	true		study	underDevelopment			date	false	false			This report contains records about pairings made using each animal
roommateHistoryBSU	Behavior	query	Cagemate History	true		study	housingRoommates	Caged Housing Only		StartDate	false	false		qcstate/publicdata	This report displays all animals that shared a cage, including the start date, stop date and days co-housed
pairingHistory	Behavior	js	Pairing History	true		study	underDevelopment			date	false	false		qcstate/publicdata	This report displays all animals that shared a cage, including the start date, stop date and days co-housed

#caseSummary	Clinical	query	Cases Over 2 Years	true		study	clinicalCaseSummary			date	false	false		qcstate/publicdata	This reports summarizes clinical cases opened in the past 2 years.
#fullHistory	Clinical	query	Full History	true		study	StudyData	Full History		date	false	false		qcstate/publicdata	Contains all clinical data on the animal
#fullHistoryPlusObs	Clinical	query	Full History Plus Obs	true		study	StudyData	Full History Plus Obs		date	false	false		qcstate/publicdata	Similar to Full History, but also contains irregular observations
#tasksById	Clinical	query	Tasks	true		ehr	TasksById			date	false	false		taskid/qcstate/publicdata	This report displays and forms that have been completed about each animal
treatments	Clinical	query	Medication Orders	true		study	Treatment Orders			date	false	false		qcstate/publicdata	Contains a list of all orders for treatments
drug	Clinical	query	Vaccinations	true		study	drug			date	false	false		qcstate/publicdata	This report contains records of all vaccinations administered to each animal
weight	Colony Management	js	Weights	true		study	weightGraph			date	false	false		qcstate/publicdata	This report contains a summary of the animal\'s weight, including a graph
clinicalHistory	Clinical	js	Clinical History	true		study	clinicalHistory			date	false	false		qcstate/publicdata	This report contains an overview of the animal\'s clinical history
#behaviorHistory	Behavior	js	Full History	true		study	onprcClinicalHistory			date	false	false		qcstate/publicdata	This report contains an overview of the animal\'s clinical history
fullClinicalHistory	Pathology	js	Clinical History - Full	true		study	fullClinicalHistory			date	false	false		qcstate/publicdata	This report contains an overview of the animal\'s clinical history

clinMedicationSchedule	Daily Reports	js	Clinical Medication Schedule	true		study	underDevelopment			date	false	false		qcstate/publicdata	This report contains a list of daily treatments to be administered
dietSchedule	Daily Reports	js	Diets	true		study	underDevelopment			date	false	false		qcstate/publicdata	This report contains a list of daily treatments to be administered
#surgMedicationSchedule2	Surgery	js	Surgical Medication Schedule	true		study	surgMedicationSchedule			date	false	false		qcstate/publicdata	This report contains a list of daily treatments to be administered
#surgMedicationSchedule	Daily Reports	js	Surgical Medication Schedule	true		study	surgMedicationSchedule			date	false	false		qcstate/publicdata	This report contains a list of daily treatments to be administered
incompleteTreatments	Daily Reports	js	Meds/Diet - Incomplete	true		study	underDevelopment			date	false	false		qcstate/publicdata	This report contains a list of daily treatments not yet administered

#behaviorRemarks	Colony Management	query	Behavior Remarks	true		study	Behavior Remarks			date	false	false		qcstate/publicdata	Contains remarks entered by Behavioral Management
birth	Colony Management	query	Birth Records	true		study	birth				false	false		qcstate/publicdata	Birth records
birth2	Reproductive Management	query	Birth Records	true		study	birth				false	false		qcstate/publicdata	Birth records
death	Colony Management	query	Death Records	true		study	deaths				false	false		qcstate/publicdata	Death records
roommateHistory	Colony Management	query	Cagemate History	true		study	housingRoommates			StartDate	false	false		qcstate/publicdata	This report displays all animals that shared a cage, including the start date, stop date and days co-housed
activeHousing	Colony Management	query	Housing - Active	true		study	housing	Active Housing		date	false	TRUE		qcstate/publicdata	This report shows the active housing record for each animal
housing	Colony Management	query	Relocation History	true		study	housing			date	false	TRUE		qcstate/publicdata	This report contains the relocation history of each animal
inbreeding	Genetics	js	Inbreeding Coefficients	true		study	underDevelopment				false	false		qcstate/publicdata	This report shows the inbreeding coefficient of each animal, where pedigree data is available. The inbreeding coefficient is the kinship coefficient between the individual's parents. It measures the probability that the two alleles of a gene are identical by descent in the same individual (autozygosity). It is zero if the individual is not inbred.
parentage	Genetics	query	Parentage	true		study	parentage				false	false		qcstate/publicdata	This report shows information about the parentage of each animal, drawing from genetic data and observations
potentialParents	Colony Management	js	Potential Parents	true		study	underDevelopment				false	false		qcstate/publicdata	This report shows potential parents for the animal, which is based on housing at estimated time of conception
citesReview	Colony Management	query	Cites Review	true		study	demographics	Cites Review		date	false	false		qcstate/publicdata	
kinship	Genetics	js	Kinship	true		ehr	underDevelopment				false	false		qcstate/publicdata	This report shows the kinship coefficient between every animal in the colony. The kinship coefficient is a measure of relatedness between two individuals. It represents the probability that two genes, sampled at random from each individual are identical (e.g. the kinship coefficient between a parent and an offspring is 0.25).
#mensCalendar	Colony Management	query	Menses Calendar	TRUE		study	mensCalendar				FALSE	FALSE		qcstate/publicdata	This report shows a calendar view of the mens observations entered by daily obs.
pedigree	Genetics	js	Pedigree	true		study	underDevelopment				false	false		qcstate/publicdata	This report displays pedigree data for animals, including parents, grandparents, siblings and offspring
#mhcData	Genetics	query	MHC Typing - Summary	true		MHC_Data	MHC_Data_Unified				false	false
#mhcDataPivoted	Genetics	query	MHC Typing - Detailed	true		MHC_Data	MHC_Data_Pivoted	Common Alleles			false	false
siblings	Reproductive Management	js	Siblings	true		study	underDevelopment				false	false		qcstate/publicdata	This report displays pedigree data for animals, including parents, grandparents, siblings and offspring
offspring	Reproductive Management	js	Offspring	true		study	underDevelopment				false	false		qcstate/publicdata	This report displays pedigree data for animals, including parents, grandparents, siblings and offspring
pedigreePlot	Genetics	js	Pedigree Plot	true		study	underDevelopment		module:EHR/schemas/study/Pedigree/Pedigree.r		false	false		qcstate/publicdata	This report will generate a pedigree plot for the selected animal
#pregnancies	Colony Management	query	Pregnancies	true		study	Pregnancies			date	false	false		qcstate/publicdata	This report contains a list of known pregnancies, including conception dates and sire, where available
#dnaBank	Genetics	query	DNA Bank	true		DNABank	Samples				false	false		qcstate/publicdata	This report shows the inbreeding coefficient of each animal, where pedigree data is available. The inbreeding coefficient is the kinship coefficient between the individual's parents. It measures the probability that the two alleles of a gene are identical by descent in the same individual (autozygosity). It is zero if the individual is not inbred.

#TB	Lab Results	query	TB Test Dates	true		study	encounters	TB Tests		date	false	false		qcstate/publicdata	TB Test results
generalTb	General	query	TB Test Results	true		study	tb			date	false	false			TB Test results
snapshot	General	js	Snapshot	true		study	snapshot				false	false		qcstate/publicdata	This report contains a summary of the animal, including demographics, assignments and weight
#clinSnapshot	Clinical	js	Clinical Snapshot	true		study	onprcSnapshot				false	false		qcstate/publicdata	This report contains a summary of the animal, including demographics, assignments and weight
arrival	General	query	Arrivals	true		study	arrival			date	false	false		qcstate/publicdata	Displays arrival and departure dates
departure	General	query	Departures	true		study	departure			date	false	false		qcstate/publicdata	Displays arrival and departure dates
#charges	General	query	Charges	true		study	Charges			date	false	false		qcstate/publicdata	This report contains a list of charges attached to the animal's record
deaths	General	query	Deaths	true		study	Deaths			date	false	false		qcstate/publicdata	Contains a list of animal deaths
demographics	General	query	Demographics	true		study	demographics	By Location			false	false		qcstate/publicdata	This report displays the demographics data about each animal including species, gender and birth
#extendedAbstract	General	query	Extended Abstract	false		study	animal	Extended Abstract			false	false		qcstate/publicdata	
#majorEvents	General	query	Major Events	true		study	majorEvents			date	false	false			This report attempts to identify major events in the history of the animal, including births and major surgeries
notes	General	query	Notes	true		study	notes	Active Notes		date	false	false		qcstate/publicdata	This report contains non-clinical notes entered into the animal's record
biopsies	Pathology	query	Biopsies	true		study	biopsy	Biopsies		date	false	false		qcstate/publicdata	Contains information about biopsies
#histology	Pathology	query	Histology	true		study	histologyPublic			date	false	false		qcstate/publicdata	Histology records and associated diagnoses
morphologicDiagnosis	Pathology	query	Morphologic Diagnosis	true		study	morphologicDiagnosis			date	false	false		qcstate/publicdata
necropsies	Pathology	query	Necropsies	true		study	necropsy			date	false	false		qcstate/publicdata	Contains information about necropsies
tissueMeasurements	Pathology	query	Tissue Measurements	true		study	organ_measurements			date	false	false		qcstate/publicdata	This report contains tissue measurements
grossFindings	Pathology	query	Gross Findings	true		study	grossFindings			date	false	false		qcstate/publicdata

#alopecia	Physical Exam	query	Alopecia	true		study	Alopecia			date	false	false		qcstate/publicdata	Contains alopecia scores from the colony
#bodyCondition	Physical Exam	query	Body Condition	true		study	Body Condition			date	false	false		qcstate/publicdata	Contains body condition scores captured during physical exams
#peObservations	Physical Exam	query	PE Findings	true		study	Clinical Observations	PE Observations		date	false	false		qcstate/publicdata	This report contains the clinical observations entered about each animal
#dentalStatus	Physical Exam	query	Dental Status	true		study	Dental Status			date	false	false		qcstate/publicdata	Contains dental assessments captured during physical exams
#pe	Physical Exam	query	Exams	true		study	Clinical Encounters	PE		date	false	false		qcstate/publicdata	A list of physical exams performed
#obs	Daily Reports	js	Irregular Observations	true		study	irregularObs			date	true	true	1		Displays irregular observations from today only
#obsTreatment	Daily Reports	js	Obs/Treatment	true		study	irregularObsTreatment			date	true	true	2		Displays irregular observations and treatments for today
#todaysHistory	Daily Reports	query	Today's History	true		study	StudyData	Full History		Date	true	false	3	qcstate/publicdata	This report contains the full history, filtered to show events that happened today only
#treatmentScheduleAM	Daily Reports	query	Treatments - Morning	true		study	treatmentSchedule	AM Treatments		date	true	false	4	qcstate/publicdata	The report displays all treatments scheduled for today
#treatmentSchedulePM	Daily Reports	query	Treatments - Afternoon	true		study	treatmentSchedule	PM Treatments		date	true	false	5	qcstate/publicdata	The report displays all treatments scheduled for today
#treatmentScheduleNight	Daily Reports	query	Treatments - Evening	true		study	treatmentSchedule	Night Treatments		date	true	false	6	qcstate/publicdata	The report displays all treatments scheduled for today
#treatmentSchedule	Daily Reports	query	Treatments - Master	true		study	treatmentSchedule			date	true	false	7	qcstate/publicdata	The report displays all treatments scheduled for today
behaviorCases	Behavior	js	Behavior Cases	true		study	underDevelopment	Open Behavior Cases		date	false	false		qcstate/publicdata	This displays active behavior cases
enrichment	Behavior	query	Enrichment	true		study	Enrichment			date	false	false		qcstate/publicdata
#surgicalCases	Daily Reports	query	Active Surgery Cases	true		study	Cases	Active Surgery Cases		date	false	false		qcstate/publicdata	This displays active surgery cases
#surgeryCasesClosedToday	Surgery	js	Surgery Cases Closed Today	true		study	surgeryCasesClosedToday			date	false	false		qcstate/publicdata	This displays surgery cases closed today
activeFlags	General	query	Active Flags	true		study	flags	Active Flags		date	false	false		qcstate/publicdata	Active Census and Colony flags
#surgicalCases2	Surgery	query	Surgery Cases	true		study	Cases	Active Surgery Cases		date	false	false		qcstate/publicdata	This displays active surgery cases
#diet	Colony Management	query	Diet	true		study	Diet	Active Diets		date	false	false		qcstate/publicdata	This displays active diets
#problemList	Daily Reports	query	Unresolved Problem List	true		study	Problem List	Unresolved Problems		date	false	false		qcstate/publicdata	This displays the clinical problem list
#openProblems	Clinical	query	Problems - Active	true		study	Problem List	Unresolved Problems		date	false	false		qcstate/publicdata	This displays the unresolved clinical problem list
#allProblems	Clinical	query	Master Problems	true		study	Problem List			date	false	false		qcstate/publicdata	This displays the clinical problem list, including closed problems
#matings	Reproductive Management	query	Matings	true		study	matingsExpanded			date	false	false		qcstate/publicdata	This displays the records of matings
matingSuccessRates	Reproductive Management	js	Mating Success Rates	true		study	underDevelopment			date	false	false		qcstate/publicdata	This displays a summary of matings

#reproSummary	Reproductive Management	js	Reproductive Summary	true		study	reproSummary			date	false	false		qcstate/publicdata
#menseCycleLength	Reproductive Management	js	Cycle Length	true		study	menseCycleLength			date	false	false		qcstate/publicdata
menses	Reproductive Management	query	Menses	true		study	menses			date	false	false		qcstate/publicdata
delivery	Reproductive Management	js	Deliveries	true		study	underDevelopment			date	false	false		qcstate/publicdata
#delivery	Reproductive Management	js	Deliveries	true		study	Delivery			date	false	false		qcstate/publicdata
pregnancy	Reproductive Management	query	Pregnancies	true		study	pregnancyConfirmations			date	false	false		qcstate/publicdata	Conception Results

#sbt	Genetics	query	MHC Genotype	TRUE		study	demographics			date	FALSE	FALSE		qcstate/publicdata	This report contains summaries of MHC genetics, derived from many different techniques
#feeding	Colony Management	query	Feeding	true		study	Feeding				false	false		qcstate/publicdata	This report contains the amount and type of food ordered for each animal

cases	Clinical	query	Hospital Admission and Discharge	true		study	cases			date	false	false		qcstate/publicdata	Hospital admission/discharge history

#New Reports:
nursing	Behavior	query	Nursing	true		study	nursing				false	false		qcstate/publicdata	Foster Mother/Infant (nursing) History
cycle	Reproductive Management	query	Cycle	true		study	cycle				false	false		qcstate/publicdata	Female Animal Cycle History
breeding	Reproductive Management	query	Breeding	true		study	breeding				false	false		qcstate/publicdata	Breeding Observations History
behavior	BBA	query	Behavior	true		study	behavior				false	false		qcstate/publicdata	Assessment of infant rhesus monkeys’ temperament, emotionality, and behavioral and physiological reactivity
inoculation	Lab Results	query	Inoculation	true		study	inoculation			date	false	false		qcstate/publicdata	Experimental Inoculation
pregnancyDeterminations	Reproductive Management	query	Pregnancy Determinations	true		study	pregnancyDeterminations			date	false	false		qcstate/publicdata	Pregnancy Determination Results

snomed_animals_conceptions	Clinical	query	SNOMED	true		study	snomed_animals_conceptions			date	false	false		qcstate/publicdata	SNOMED records for animals and conceptions
morningHealthObs	Daily Reports	query	Morning Health	true		study	morningHealthObs			date	false	false		qcstate/publicdata	Daily Morning Health Observations
clinical_observations	Daily Reports	query	Diarrhea and Poor App	true		study	clinical_observations			date	false	false		qcstate/publicdata	Diarrhea and Poor App Observations
breedingGroupAssignments	Reproductive Management	query	Breeding Group	true		study	breedingGroupAssignments			date	false	false		qcstate/publicdata	Animal Breeding group assignment history
labworkResults	BBA	query	Lab Results	true		study	labworkResults			date	false	false		qcstate/publicdata	Lab Results from Behavioral Assessment
semenAnalysis	Reproductive Management	query	Semen Analysis	true		study	semenAnalysis			date	false	false		qcstate/publicdata	Semen Analysis via Electro Ejaculation
geriatrics	Colony Management	query	Geriatrics	true		study	geriatrics			date	false	false		qcstate/publicdata	Geriatrics related reporting
payor_assignments	Assignments and Groups	query	Per-diem Payor Assignment	true		study	payor_assignments			date	false	false		qcstate/publicdata	Per diem Payor Assignment History
rd_skin_sensitization	Respiratory Diseases	query	RD Skin Sensitization	true		study	rd_skin_sensitization			date	false	false		qcstate/publicdata	Respiratory Diseases - Skin Sensitization
rd_asthma_cbc	Respiratory Diseases	query	RD Asthma CBC	true		study	rd_asthma_cbc			date	false	false		qcstate/publicdata	Respiratory Diseases - Asthma
serum	Repository	query	Serum Bank	true		study	serum			date	false	false		qcstate/publicdata	Serum Registry
pathology_inventory	Repository	query	Pathology Inventory	true		study	pathology_inventory			date	false	false		qcstate/publicdata	Pathology Specimen Inventory
fdb_samples	Repository	query	Freezer DB Samples	true		study	fdb_samples			date	false	false		qcstate/publicdata	Freezer sample data
